brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings,Discount_Percentage,Revenue_Score,Price Category
Roadster,Relaxed Fit Stretchable Jeans,560,1699,0.67,4,8,67,4480,Budget
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,60,47817,Budget
Kook N Keech,Men Relaxed Pure Cotton Jeans,991,3199,0.69,3.5,14,69,13874,Budget
glitchez,Men Loose Fit Jeans,1077,2199,0.51,4.3,22,51,23694,Mid
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4.3,22,39,40238,Mid
glitchez,Men Relaxed Fit Cargo Jeans,665,1799,0.63,4,40,63,26600,Budget
WROGN,Men Relaxed Fit Mid-Rise Jeans,1304,2899,0.55,3.5,11,55,14344,Mid
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264,49,390192,Mid
Flying Machine,Men Slim Fit Mid-Rise Jeans,1367,2399,0.43,3.8,29,43,39643,Mid
Stylecast X Kotty,Men Regular Fit Mid-Rise Jeans,499,1999,0.75,3.8,36,75,17964,Budget
Calvin Klein Jeans,Men Slim Fit Jeans,499,1999,0.75,3.8,36,75,17964,Budget
glitchez,Men Baggy Jeans,637,2199,0.71,3.5,46,71,29302,Budget
Kotty,Men Low-Rise Jeans,519,1999,0.74,3.9,284,74,147396,Budget
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,42,165750,Mid
Playfeel,Men Loose Fit Mid-Rise Jeans,674,2499,0.73,1.7,6,73,4044,Budget
Roadster,Men Slouchy Fit Cargo Jeans,597,2599,0.77,3.7,43,77,25671,Budget
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,3.7,43,34,99287,Premium
Roadster,Men Slim Fit Jeans,629,1399,0.55,3.8,11200,55,7044800,Budget
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,48,64449,Premium
Roadster,Men Bootcut Jeans,759,1899,0.6,4.3,199,60,151041,Budget
Roadster,Men Cargo Styles Jeans,839,2799,0.7,3.5,8,70,6712,Budget
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.5,8,38,12392,Mid
Roadster,Men Straight Fit Jeans,645,1699,0.62,3.4,9,62,5805,Budget
Urbano Fashion,Men Bootcut Light Fade Jeans,1149,2299,0.5,3.9,173,50,198777,Mid
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,50,34975,Mid
Roadster,Men Relaxed Fit Jeans,831,2599,0.68,4.3,20,68,16620,Budget
The Indian Garage Co,Men Bootcut Jeans,979,2449,0.6,4.2,553,60,541387,Budget
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,59,22288,Mid
glitchez,Men Carrot Fit Jeans,713,1699,0.58,4.5,21,58,14973,Budget
Ducati,Men Straight Fit Jeans,1224,3499,0.65,4.3,48,65,58752,Mid
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,40,260276,Premium
Bene Kleed,Men Straight Fit Jeans,896,2299,0.61,4,480,61,430080,Budget
Roadster,Mid Rise Regular Fit Jeans,924,2499,0.63,3.8,67,63,61908,Budget
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17,63,21998,Mid
Flying Machine,Men Tapered Fit Jeans,1424,2499,0.43,4.4,7,43,9968,Mid
The Indian Garage Co,Men Slim Fit Jeans,659,1999,0.67,4.1,2100,67,1383900,Budget
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22,63,34166,Mid
Bene Kleed,Men Baggy Light Fade Jeans,839,2999,0.72,3.9,39,72,32721,Budget
MASTERLY WEFT,Men Straight Fit Jeans,959,1999,0.52,3.9,39,52,37401,Budget
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.9,39,59,54327,Mid
Roadster,Men Relaxed Fit Mid-Rise Jeans,509,1699,0.7,4.4,7,70,3563,Budget
Mast & Harbour,Men Straight Fit Jeans,1169,2599,0.55,4.4,7,55,8183,Mid
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5,50,8245,Mid
Roadster,Men Slouchy Fit Jeans,909,2599,0.65,4.1,74,65,67266,Budget
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,45,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,39,9145,Mid
Roadster,Men Straight Fit Jeans,743,2399,0.69,4.1,27,69,20061,Budget
WROGN,Men Slim Fit Jeans,1333,2299,0.42,4.5,18,42,23994,Mid
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,42,68166,Mid
Roadster,Straight Fit Stretchable Jeans,526,1699,0.69,3.6,16,69,8416,Budget
WROGN,Men Slim Ankle Fit Jeans,1333,2299,0.42,3.8,30,42,39990,Mid
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,60,47817,Budget
Urbano Fashion,Men Bootcut Jeans,899,1999,0.55,3.8,285,55,256215,Budget
Roadster,Men Skinny Fit Jeans,839,1999,0.58,3.9,65,58,54535,Budget
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,3.9,65,39,118885,Mid
WROGN,Men Anti Loose Fit Jeans,874,2499,0.65,2.1,20,65,17480,Budget
Roadster,Men Cotton Baggy Fit Jeans,867,2799,0.69,2.6,15,69,13005,Budget
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264,49,390192,Mid
glitchez,Men Baggy Jeans,559,1999,0.72,3.4,83,72,46397,Budget
PARIS HAMILTON,Men Bootcut Mid-Rise Jeans,939,1999,0.53,3.9,18,53,16902,Budget
Calvin Klein Jeans,Men Slim Fit Jeans,939,1999,0.53,3.9,18,53,16902,Budget
Roadster,Men Baggy Fit Cotton Jeans,701,2599,0.73,3.6,15,73,10515,Budget
glitchez,Men Skinny Fit Jeans,519,1999,0.74,4.5,48,74,24912,Budget
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,42,165750,Mid
WROGN,Men Straight Fit Jeans,1385,2199,0.37,4,5,37,6925,Mid
Bene Kleed,Men Straight Fit Jeans,974,2499,0.61,4,129,61,125646,Budget
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4,129,34,297861,Premium
Roadster,Men Straight Fit Jeans,740,1899,0.61,3.7,44,61,32560,Budget
glitchez,Men Wide Leg Jeans,703,2199,0.68,3.7,97,68,68191,Budget
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,48,64449,Premium
Roadster,Men Relaxed Fit Jeans,1199,2999,0.6,3.8,220,60,263780,Mid
glitchez,Men Straight Fit Jeans,579,1999,0.71,4.1,248,71,143592,Budget
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,4.1,248,38,384152,Mid
Roadster,Men Ripped Relaxed Fit Jeans,755,2799,0.73,4,29,73,21895,Budget
SPYKAR,Men Regular Fit Cotton Jeans,1101,2899,0.62,3.5,36,62,39636,Mid
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,50,34975,Mid
Mast & Harbour,Men Slim Fit Mid-Rise Jeans,764,1699,0.55,3.1,36,55,27504,Budget
Roadster,Men Straight Fit Jeans,849,1699,0.5,3.8,50,50,42450,Budget
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,59,22288,Mid
The Indian Garage Co,Men Slim Fit Jeans,659,1999,0.67,4.1,1800,67,1186200,Budget
Roadster,Men Straight Fit Jeans,607,1899,0.68,4.3,8,68,4856,Budget
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,40,260276,Premium
Roadster,Men Cotton Straight Fit Jeans,929,2999,0.69,3.6,36,69,33444,Budget
The Indian Garage Co,Men Relaxed Fit Jeans,758,2299,0.67,3.5,137,67,103846,Budget
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17,63,21998,Mid
Stylecast X Kotty,Men Regular Fit Mid-Rise Jeans,539,1999,0.73,3.7,54,73,29106,Budget
Roadster,Men Pure Cotton Bootcut Jeans,805,2599,0.69,4.2,41,69,33005,Budget
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22,63,34166,Mid
Bene Kleed,Straight Fit Mid-Rise Jeans,974,2499,0.61,3.9,7,61,6818,Budget
Roadster,Men Regular Fit Jeans,849,1699,0.5,4,41,50,34809,Budget
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,4,41,59,57113,Mid
Mast & Harbour,Men Slim Tapered Fit Jeans,827,2299,0.64,3.6,353,64,291931,Budget
Roadster,Men Relaxed Fit Cargo Jeans,1072,2899,0.63,4.1,454,63,486688,Mid
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5,50,8245,Mid
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,45,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,39,9145,Mid
Roadster,Men Straight Fit Mid-Rise Jeans,645,1699,0.62,3.5,28,62,18060,Budget
Bene Kleed,Men Straight Fit Jeans,974,2499,0.61,3.9,44,61,42856,Budget
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,42,68166,Mid
glitchez,Men Baggy Fit Jeans,571,2199,0.74,3.8,84,74,47964,Budget
Thomas Scott,Mid-Rise Baggy Cotton Jeans,909,3299,23.9,4,35,2390,31815,Budget
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,60,47817,Budget
The Indian Garage Co,Men Cropped Jeans,721,1899,0.62,4.2,1200,62,865200,Budget
Roadster,Men Relaxed Fit Jeans,929,2999,0.69,4.4,59,69,54811,Budget
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4.4,59,39,107911,Mid
glitchez,Men Wide Leg Jeans,659,2199,0.7,3.8,45,70,29655,Budget
me Queen,Men Wide Leg Pure Cotton Jeans,949,1899,0.5,4.3,6,50,5694,Budget
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264,49,390192,Mid
glitchez,Men Loose Fit Frayed Jeans,571,2199,0.74,4,52,74,29692,Budget
Dennis Lingo,Men Straight Fit Jeans,999,2799,18,4.1,565,1800,564435,Budget
Calvin Klein Jeans,Men Slim Fit Jeans,999,2799,18,4.1,565,1800,564435,Budget
glitchez,Men Wide Leg Jeans,659,2199,0.7,3.3,38,70,25042,Budget
