brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings,Discount_Percentage,Revenue_Score,Price Category
SF JEANS by Pantaloons,Men Slim Fit Mid-Rise Jeans,1169,1299,0.1,3.7,124,,144956,Mid
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17,,21998,Mid
SF JEANS by Pantaloons,Men Slim Fit Mid-Rise Jeans,1294,3499,0.63,4.4,17,,21998,Mid
SF JEANS by Pantaloons,Men Slim Fit Mid-Rise Jeans,1294,3499,0.63,4.4,17,,21998,Mid
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22,,34166,Mid
SF JEANS by Pantaloons,Men Slim Fit Mid-Rise Jeans,1553,4199,0.63,3.8,22,,34166,Mid
PASSPORT JEANS,Mid-Rise No Fade Jeans,999,2495,14.96,3.8,22,,21978,Budget
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.8,22,,30646,Mid
R&B,Men Regular Fit Mid-Rise Jeans,1393,3399,0.59,3.8,22,,30646,Mid
R&B,Straight Fit Mid-Rise Jeans,1393,3399,0.59,3.8,22,,30646,Mid
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5,,8245,Mid
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
STEPLE DENIMS,Men Cargo Styles Jeans,849,1249,0.32,4.6,5,,4245,Budget
STEPLE DENIMS,Men Relaxed Fit Jeans,849,1249,0.32,4.6,5,,4245,Budget
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,,68166,Mid
KAPTHE,Men Low-Rise Denim Jeans,1623,2799,0.42,4.2,42,,68166,Mid
KAPTHE,Men Mid-Rise Baggy Jeans,1623,2799,0.42,4.2,42,,68166,Mid
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,,47817,Budget
KAPTHE,Men Cargo Styles Jeans,759,1899,0.6,4,63,,47817,Budget
KAPTHE,Men Low-Rise Jeans,759,1899,0.6,4,63,,47817,Budget
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4,63,,115227,Mid
Espanshe,Straight Fit Mid-Rise Jeans,1399,2798,0.5,4,63,,88137,Mid
Espanshe,Men Relaxed Fit Jeans,1399,2798,0.5,4,63,,88137,Mid
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264,,390192,Mid
Espanshe,Men Straight Fit Jeans,1399,2798,0.5,4.3,264,,369336,Mid
Fame Forever by Lifestyle,Straight Fit Mid-Rise Jeans,1349,1499,0.1,4.3,264,,356136,Mid
Calvin Klein Jeans,Men Slim Fit Jeans,1349,1499,0.1,4.3,264,,356136,Mid
Fame Forever by Lifestyle,Men Tapered Fit Mid-Rise Jeans,1169,1299,0.1,4.3,264,,308616,Mid
RJ Denim,Men Slim Fit Mid-Rise Jeans,993,3549,0.72,4.3,264,,262152,Budget
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,,165750,Mid
RJ Denim,Men Slim Fit Mid-Rise Jeans,971,3599,0.73,4.2,130,,126230,Budget
RJ Denim,Men Slim Fit Mid-Rise Jeans,993,3549,0.72,4.2,130,,129090,Budget
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4.2,130,,300170,Premium
V-Mart,Men Mid-Rise Jeans,1349,1499,0.1,4.2,130,,175370,Mid
V-Mart,Men Slim Fit Mid-Rise Jeans,1259,1399,0.1,4.2,130,,163670,Mid
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,,64449,Premium
V-Mart,Men Regular Fit Mid-Rise Jeans,996,1049,0.05,3.9,31,,30876,Budget
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.9,31,,48019,Mid
V-Mart,Men Skinny Fit Mid-Rise Jeans,996,1049,0.05,3.9,31,,30876,Budget
V-Mart,Straight Fit Mid-Rise Jeans,1349,1499,0.1,3.9,31,,41819,Mid
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,,34975,Mid
V-Mart,Men Skinny Fit Mid-Rise Jeans,1259,1399,0.1,4.1,25,,31475,Mid
V-Mart,Men Skinny Fit Mid-Rise Jeans,996,1049,0.05,4.1,25,,24900,Budget
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,,22288,Mid
V-Mart,Men Boyfriend Fit  Jeans,996,1049,0.05,3.8,16,,15936,Budget
V-Mart,Men Skinny Fit Mid-Rise Jeans,1259,1399,0.1,3.8,16,,20144,Mid
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,,260276,Premium
V-Mart,Men Regular Fit Mid-Rise Jeans,1259,1399,0.1,3.7,124,,156116,Mid
V-Mart,Men Skinny Fit Mid-Rise Jeans,703,799,0.12,3.7,124,,87172,Budget
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17,,21998,Mid
V-Mart,Straight Fit Mid-Rise Jeans,1349,1499,0.1,4.4,17,,22933,Mid
V-Mart,Men Regular Fit Cotton Jeans,996,1049,0.05,4.4,17,,16932,Budget
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22,,34166,Mid
V-Mart,Men Skinny Fit Mid-Rise Jeans,996,1049,0.05,3.8,22,,21912,Budget
V-Mart,Men Skinny Fit Mid-Rise Jeans,996,1049,0.05,3.8,22,,21912,Budget
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.8,22,,30646,Mid
V-Mart,Cotton Non Stretchable Jeans,996,1049,0.05,3.8,22,,21912,Budget
V-Mart,Men Skinny Fit Mid-Rise Jeans,1259,1399,0.1,3.8,22,,27698,Mid
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5,,8245,Mid
V-Mart,Men Skinny Fit Mid-Rise Jeans,1349,1499,0.1,4.2,5,,6745,Mid
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
V-Mart,Men Skinny Fit Mid-Rise Jeans,1349,1499,0.1,4.6,5,,6745,Mid
V-Mart,Men Skinny Fit Mid-Rise Jeans,996,1049,0.05,4.6,5,,4980,Budget
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,,68166,Mid
V-Mart,Men Skinny Fit Mid-Rise Jeans,996,1049,0.05,4.2,42,,41832,Budget
V-Mart,Men Skinny Fit Mid-Rise Jeans,1259,1399,0.1,4.2,42,,52878,Mid
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,,47817,Budget
V-Mart,Men Regular Fit Cotton Jeans,996,1049,0.05,4,63,,62748,Budget
V-Mart,Men Regular Fit Mid-Rise Jeans,1259,1399,0.1,4,63,,79317,Mid
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4,63,,115227,Mid
V-Mart,Men Skinny Fit Mid-Rise Jeans,996,1049,0.05,4,63,,62748,Budget
V-Mart,Men Skinny Fit Mid-Rise Jeans,1349,1499,0.1,4,63,,84987,Mid
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264,,390192,Mid
V-Mart,Men Skinny Fit Mid-Rise Jeans,996,1049,0.05,4.3,264,,262944,Budget
V-Mart,Men Slim Fit Mid-Rise Jeans,1349,1499,0.1,4.3,264,,356136,Mid
Calvin Klein Jeans,Men Slim Fit Jeans,1349,1499,0.1,4.3,264,,356136,Mid
Campus Sutra,Men Skinny Fit Mid-Rise Jeans,774,2499,0.69,4.3,264,,204336,Budget
Campus Sutra,Men Slim Fit Mid-Rise Jeans,774,2499,0.69,4.3,264,,204336,Budget
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,,165750,Mid
Campus Sutra,Men Regular Fit Mid-Rise Jeans,724,2499,0.71,4.2,130,,94120,Budget
Campus Sutra,Men Mid-Rise Denim Jeans,1007,2799,0.64,4.2,130,,130910,Mid
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4.2,130,,300170,Premium
Campus Sutra,Men Regular Fit Mid-Rise Jeans,1007,2799,0.64,4.2,130,,130910,Mid
Urbano Fashion,Relaxed Fit Denim Jeans,1195,2599,0.54,4.2,130,,155350,Mid
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,,64449,Premium
Urbano Fashion,Men Loose Baggy Fit Jeans,1195,2599,0.54,3.9,31,,37045,Mid
glitchez,Men Cotton Baggy Fit Jeans,791,2199,0.64,3.9,31,,24521,Budget
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.9,31,,48019,Mid
glitchez,Men Baggy Fit Cargo Jeans,791,2199,0.64,3.9,31,,24521,Budget
glitchez,Men Cotton Baggy Fit Jeans,791,2199,0.64,3.9,31,,24521,Budget
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,,34975,Mid
glitchez,Men Cotton Baggy Fit Jeans,699,1999,0.65,4.1,25,,17475,Budget
glitchez,Men Cotton Baggy Fit Jeans,699,1999,0.65,4.1,25,,17475,Budget
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,,22288,Mid
glitchez,Men Slim Fit Jeans,699,1999,0.65,3.8,16,,11184,Budget
glitchez,Men Relaxed Embroidered Jeans,699,1999,0.65,3.8,16,,11184,Budget
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,,260276,Premium
glitchez,Men Relaxed Stretchable Jeans,699,1999,0.65,3.7,124,,86676,Budget
glitchez,Men Relaxed Stretchable Jeans,699,1999,0.65,3.7,124,,86676,Budget
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17,,21998,Mid
glitchez,Men Stretchable Jogger Jeans,647,1799,0.64,4.4,17,,10999,Budget
glitchez,Men Stretchable Jeans,647,1799,0.64,4.4,17,,10999,Budget
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22,,34166,Mid
glitchez,Men Relaxed Stretchable Jeans,594,1699,0.65,3.8,22,,13068,Budget
glitchez,Men Relaxed Embroidered Jeans,594,1699,0.65,3.8,22,,13068,Budget
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.8,22,,30646,Mid
glitchez,Men Regular Fit Jeans,699,1999,0.65,3.8,22,,15378,Budget
glitchez,Men Relaxed Embroidered Jeans,594,1699,0.65,3.8,22,,13068,Budget
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5,,8245,Mid
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
glitchez,Men Relaxed Embroidered Jeans,699,1999,0.65,4.6,5,,3495,Budget
glitchez,Men Embroidered Jeans,647,1799,0.64,4.6,5,,3235,Budget
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,,68166,Mid
glitchez,Men Relaxed Stretchable Jeans,594,1699,0.65,4.2,42,,24948,Budget
glitchez,Men Stretchable Jeans,699,1999,0.65,4.2,42,,29358,Budget
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,,47817,Budget
glitchez,Men Embroidered Jeans,594,1699,0.65,4,63,,37422,Budget
glitchez,Men Loose Bootcut Jeans,839,2399,0.65,4,63,,52857,Budget
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4,63,,115227,Mid
glitchez,Men Skater Fit Panelled Jeans,791,2199,0.64,4,63,,49833,Budget
glitchez,Men Skater Fit Panelling Jeans,791,2199,0.64,4,63,,49833,Budget
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264,,390192,Mid
glitchez,Men Skater Panelled Jeans,839,2399,0.65,4.3,264,,221496,Budget
glitchez,Men Loose Bootcut Jeans,839,2399,0.65,4.3,264,,221496,Budget
Calvin Klein Jeans,Men Slim Fit Jeans,839,2399,0.65,4.3,264,,221496,Budget
glitchez,Men Skater Fit Panelled Jeans,839,2399,0.65,4.3,264,,221496,Budget
Parx,Men Tapered Fit Low-Rise Jeans,1160,2699,0.57,4.3,264,,306240,Mid
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,,165750,Mid
Parx,Men Tapered Fit Mid-Rise Jeans,1333,2899,0.54,4.2,130,,173290,Mid
Parx,Low-Rise Non Stretchable Jeans,1333,2899,0.54,4.2,130,,173290,Mid
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4.2,130,,300170,Premium
Parx,Men Tapered Fit Low-Rise Jeans,974,2499,0.61,4.2,130,,126620,Budget
Parx,Men Tapered Fit Cotton Jeans,1333,2899,0.54,4.2,130,,173290,Mid
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,,64449,Premium
Parx,Men Tapered Fit Mid-Rise Jeans,1333,2899,0.54,3.9,31,,41323,Mid
Parx,Men Tapered Fit Jeans,1333,2899,0.54,3.9,31,,41323,Mid
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.9,31,,48019,Mid
Parx,Men Tapered Fit Low-Rise Jeans,1160,2699,0.57,3.9,31,,35960,Mid
Parx,Men Tapered Fit Low-Rise Jeans,1333,2899,0.54,3.9,31,,41323,Mid
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,,34975,Mid
Parx,Men Tapered Fit Low-Rise Jeans,1160,2699,0.57,4.1,25,,29000,Mid
Parx,Tapered Fit Cotton Jeans,1333,2899,0.54,4.1,25,,33325,Mid
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,,22288,Mid
Parx,Men Tapered Fit Low-Rise Jeans,974,2499,0.61,3.8,16,,15584,Budget
Parx,Men Tapered Fit Low-Rise Jeans,1160,2699,0.57,3.8,16,,18560,Mid
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,,260276,Premium
Parx,Men Tapered Fit Cotton Jeans,1160,2699,0.57,3.7,124,,143840,Mid
Moudlin,Men Slim Fit Mid-Rise Jeans,649,1999,13.5,3.7,124,,80476,Budget
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17,,21998,Mid
PAUL STREET,Men Relaxed Fit Mid-Rise Jeans,1299,3195,18.96,4.4,17,,22083,Mid
Duke,Men Slim Fit Mid-Rise Jeans,999,1575,5.76,4.4,17,,16983,Budget
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22,,34166,Mid
Duke,Slim Fit Mid-Rise Jeans,999,1575,5.76,3.8,22,,21978,Budget
Fame Forever by Lifestyle,Men Tapered Fit Mid-Rise Jeans,1349,1499,0.1,3.8,22,,29678,Mid
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.8,22,,30646,Mid
MYLANA,Men Regular Fit Mid-Rise Jeans,1049,2799,17.5,3.8,22,,23078,Mid
MYLANA,Men Regular Fit Mid-Rise Jeans,1049,2799,17.5,3.8,22,,23078,Mid
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5,,8245,Mid
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
WROGN,Men Relaxed Fit Jeans,1259,2799,0.55,4.6,5,,6295,Mid
glitchez,Men Barrel Fit Jeans,1055,2199,0.52,4.6,5,,5275,Mid
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,,68166,Mid
Moudlin,Men Regular Fit Jeans,749,1999,12.5,4.2,42,,31458,Budget
V-Mart,Men Regular Fit Mid-Rise Jeans,1394,1499,0.07,4.2,42,,58548,Mid
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,,47817,Budget
V-Mart,Regular Fit Cotton Jeans,759,1899,0.6,4,63,,47817,Budget
V-Mart,Non Stretchable Cotton Jeans,759,1899,0.6,4,63,,47817,Budget
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4,63,,115227,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1394,1499,0.07,4,63,,87822,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1394,1499,0.07,4,63,,87822,Mid
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264,,390192,Mid
V-Mart,Non Stretchable Cotton Jeans,1301,1399,0.07,4.3,264,,343464,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1301,1399,0.07,4.3,264,,343464,Mid
Calvin Klein Jeans,Men Slim Fit Jeans,1301,1399,0.07,4.3,264,,343464,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1394,1499,0.07,4.3,264,,368016,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,969,999,0.03,4.3,264,,255816,Budget
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,,165750,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1394,1499,0.07,4.2,130,,181220,Mid
V-Mart,Men Slim Fit Mid-Rise Jeans,969,999,0.03,4.2,130,,125970,Budget
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4.2,130,,300170,Premium
V-Mart,Men Regular Fit Mid-Rise Jeans,2309,3499,0.34,4.2,130,,300170,Premium
V-Mart,Slim Fit Mid-Rise Jeans,2309,3499,0.34,4.2,130,,300170,Premium
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,,64449,Premium
V-Mart,Men Regular Fit Mid-Rise Jeans,2079,3999,0.48,3.9,31,,64449,Premium
V-Mart,Men Regular Fit Mid-Rise Jeans,1394,1499,0.07,3.9,31,,43214,Mid
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.9,31,,48019,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1394,1499,0.07,3.9,31,,43214,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1394,1499,0.07,3.9,31,,43214,Mid
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,,34975,Mid
V-Mart,Mid-Rise Heavy Fade Jeans,1399,2799,0.5,4.1,25,,34975,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1399,2799,0.5,4.1,25,,34975,Mid
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,,22288,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1301,1399,0.07,3.8,16,,20816,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1394,1499,0.07,3.8,16,,22304,Mid
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,,260276,Premium
V-Mart,Men Slim Fit Mid-Rise Jeans,975,1049,0.07,3.7,124,,120900,Budget
V-Mart,Slim Fit Mid-Rise Jeans,1301,1399,0.07,3.7,124,,161324,Mid
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17,,21998,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,949,999,0.05,4.4,17,,16133,Budget
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22,,34166,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1553,4199,0.63,3.8,22,,34166,Mid
V-Mart,Men Slim Fit Mid-Rise Jeans,1553,4199,0.63,3.8,22,,34166,Mid
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.8,22,,30646,Mid
V-Mart,Men Mid-Rise Jeans,1394,1499,0.07,3.8,22,,30668,Mid
V-Mart,Regular Fit Cotton Jeans,1394,1499,0.07,3.8,22,,30668,Mid
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5,,8245,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1394,1499,0.07,4.2,5,,6970,Mid
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1394,1499,0.07,4.6,5,,6970,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1394,1499,0.07,4.6,5,,6970,Mid
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,,68166,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1623,2799,0.42,4.2,42,,68166,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1623,2799,0.42,4.2,42,,68166,Mid
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,,47817,Budget
V-Mart,Low-Rise Cotton Denim  Jeans,759,1899,0.6,4,63,,47817,Budget
V-Mart,Men Slim Fit Mid-Rise Jeans,836,899,0.07,4,63,,52668,Budget
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4,63,,115227,Mid
V-Mart,Men Regular Fit Mid-Rise Jeans,1301,1399,0.07,4,63,,81963,Mid
Instafab Plus,Plus Size Mid-Rise Jeans,1169,2999,0.61,4,63,,73647,Mid
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264,,390192,Mid
Fame Forever by Lifestyle,Men Slim Fit Mid-Rise Jeans,1349,1499,0.1,4.3,264,,356136,Mid
fineblu,Men Slim Fit Mid-Rise Jeans,1299,2599,0.5,4.3,264,,342936,Mid
Calvin Klein Jeans,Men Slim Fit Jeans,1299,2599,0.5,4.3,264,,342936,Mid
fineblu,Men Slim Fit Mid-Rise Jeans,1299,2599,0.5,4.3,264,,342936,Mid
fineblu,Men Slim Fit Mid-Rise Jeans,1299,2599,0.5,4.3,264,,342936,Mid
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,,165750,Mid
me Queen,Straight Fit Mid-Rise Jeans,949,1899,0.5,4.2,130,,123370,Budget
me Queen,Straight Fit Mid-Rise Jeans,949,1899,0.5,4.2,130,,123370,Budget
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4.2,130,,300170,Premium
KAPTHE,Men Tapered Fit Cotton Jeans,2309,3499,0.34,4.2,130,,300170,Premium
KAPTHE,Men Slim Fit Low-Rise Jeans,2309,3499,0.34,4.2,130,,300170,Premium
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,,64449,Premium
Duke,Men Regular Fit Mid-Rise Jeans,999,1575,5.76,3.9,31,,30969,Budget
Duke,Men Regular Fit Mid-Rise Jeans,999,1575,5.76,3.9,31,,30969,Budget
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.9,31,,48019,Mid
SF JEANS by Pantaloons,Men Skinny Fit Mid-Rise Jeans,1549,2499,0.38,3.9,31,,48019,Mid
me Queen,Men Wide Leg Mid-Rise Jeans,949,1899,0.5,3.9,31,,29419,Budget
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,,34975,Mid
me Queen,Men Straight Fit Jeans,899,1799,0.5,4.1,25,,22475,Budget
me Queen,Men Mid-Rise Jeans,899,1799,0.5,4.1,25,,22475,Budget
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,,22288,Mid
Playfeel,Men Mid-Rise Jeans,674,2499,0.73,3.8,16,,10784,Budget
Playfeel,Men Boyfriend Fit  Jeans,674,2499,0.73,3.8,16,,10784,Budget
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,,260276,Premium
Playfeel,Men Baggy Fit Mid-Rise Jeans,674,2499,0.73,3.7,124,,83576,Budget
Playfeel,Boyfriend Fit Mid-Rise Jeans,674,2499,0.73,3.7,124,,83576,Budget
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17,,21998,Mid
Playfeel,Men Mid-Rise Jeans,674,2499,0.73,4.4,17,,11458,Budget
Roadster,Men Mid-Rise Regular Fit Jeans,594,1699,0.65,4.4,17,,10098,Budget
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22,,34166,Mid
Roadster,Men Relaxed Fit Mid-Rise Jeans,594,1699,0.65,3.8,22,,13068,Budget
Roadster,Men Regular Fit Mid-Rise Jeans,594,1699,0.65,3.8,22,,13068,Budget
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.8,22,,30646,Mid
Roadster,Men Relaxed Fit Mid-Rise Jeans,594,1699,0.65,3.8,22,,13068,Budget
Roadster,Men Regular Fit Mid-Rise Jeans,594,1699,0.65,3.8,22,,13068,Budget
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5,,8245,Mid
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,,9145,Mid
MAAHIT,Men Mid-Rise Jeans,689,2999,0.77,4.6,5,,3445,Budget
MAAHIT,Men Baggy Fit Mid-Rise Jeans,689,2999,0.77,4.6,5,,3445,Budget
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,,68166,Mid
MAAHIT,Men Baggy Mid-Rise Jeans,689,2999,0.77,4.2,42,,28938,Budget
Playfeel,Men Straight Fit Jeans,699,2499,0.72,4.2,42,,29358,Budget
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,,47817,Budget
Playfeel,Men Boyfriend Fit Jeans,699,2499,0.72,4,63,,44037,Budget
Moda Rapido,Men Regular Fit Mid-Rise Jeans,481,1299,8.18,4,63,,30303,Budget
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4,63,,115227,Mid
HangerLoop,Men Regular Fit Mid-Rise Jeans,1399,3099,17,4,63,,88137,Mid
Hence,Men Mid-Rise Jeans,849,1999,11.5,4,63,,53487,Budget
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264,,390192,Mid
Hence,Men Clean Look Mid-Rise Jeans,749,1999,12.5,4.3,264,,197736,Budget
MAAHIT,Cotton Stretchable Jeans,689,2999,0.77,4.3,264,,181896,Budget
Calvin Klein Jeans,Men Slim Fit Jeans,689,2999,0.77,4.3,264,,181896,Budget
Mast & Harbour,Men Loose Fit Jeans,1169,2599,0.55,4.3,264,,308616,Mid
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,,165750,Mid
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4.2,130,,300170,Premium
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,,64449,Premium
BuaGi Collection,Men Regular Fit Mid-Rise Jeans,752,2150,0.65,3.9,31,,23312,Budget
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.9,31,,48019,Mid
BuaGi Collection,Men Regular Fit Mid-Rise Jeans,752,2150,0.65,3.9,31,,23312,Budget
Playfeel,Men Mid-Rise Jeans,689,2999,23.1,3.9,31,,21359,Budget
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,,34975,Mid
MEGHZ,Men Mid-Rise Cotton Jeans,649,1899,0.65,4.1,25,,16225,Budget
MEGHZ,Men Slim Fit Mid-Rise Jeans,649,1899,0.65,4.1,25,,16225,Budget
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,,22288,Mid
MAAHIT,Loose Fit Stretchable Jeans,689,2999,0.77,3.8,16,,11024,Budget
MAAHIT,Men Slim Fit Mid-Rise Jeans,689,2999,0.77,3.8,16,,11024,Budget
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124,,260276,Premium
Global Republic,Men Regular Fit Jeans,1299,2599,0.5,3.7,124,,161076,Mid
MM-21,Men Bootcut Mid-Rise Jeans,999,2499,0.6,3.7,124,,123876,Budget
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17,,21998,Mid
RIG BONE,Men Jogger Mid-Rise Jeans,980,3999,30.19,4.4,17,,16660,Budget
RIG BONE,Men Relaxed Fit Mid-Rise Jeans,980,3999,30.19,4.4,17,,16660,Budget
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22,,34166,Mid
